# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.88,
1.0,1.92,
2.0,2.02,
3.0,2.02,
4.0,2.03,
5.0,2.03,
6.0,2.03,
7.0,2.14,
8.0,2.15,
9.0,2.15,
10.0,2.36,
11.0,2.44,
12.0,2.54,
13.0,2.51,
14.0,2.5,
15.0,2.63,
16.0,2.78,
17.0,2.93,
18.0,3.1,
19.0,2.81,
20.0,2.69,
21.0,3.06,
22.0,3.06,
23.0,3.43,
24.0,3.37,
25.0,3.38,
26.0,3.37,
27.0,3.38,
28.0,3.37,
29.0,3.36,
30.0,4.37,
31.0,3.37,
32.0,3.21,
33.0,3.24,
34.0,3.38,
35.0,3.41,
36.0,3.23,
37.0,3.3,
38.0,3.3,
39.0,4.46,
40.0,3.86,
41.0,3.38,
42.0,3.2,
43.0,3.27,
44.0,3.31,
45.0,3.29,
46.0,3.28,
47.0,3.3,
48.0,5.23,
49.0,3.28,
50.0,3.29,
51.0,3.35,
52.0,3.34,
53.0,3.34,
54.0,3.33,
55.0,3.35,
56.0,3.4,
57.0,4.45,
58.0,3.31,
59.0,3.36,
60.0,3.53,
61.0,3.48,
62.1,3.33,
63.1,3.33,
64.1,3.33,
65.1,3.41,
