# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.16,
1.0,3.15,
2.0,3.19,
3.0,3.19,
4.0,3.19,
5.0,3.2,
6.0,3.2,
7.0,2.39,
8.0,2.43,
9.0,2.51,
10.0,2.58,
11.0,2.86,
12.0,2.91,
13.0,2.84,
14.0,2.85,
15.0,2.89,
16.0,2.88,
17.0,2.75,
18.0,5.21,
19.0,2.71,
20.0,2.84,
21.0,2.82,
22.0,2.85,
23.0,2.79,
24.0,2.83,
25.0,2.83,
26.0,2.87,
27.0,4.89,
28.0,2.77,
29.0,2.83,
30.0,2.76,
31.0,2.76,
32.0,2.72,
33.0,2.75,
34.0,2.71,
35.0,2.78,
36.0,4.04,
37.0,3.29,
38.0,2.87,
39.0,3.12,
40.0,2.97,
41.0,3.03,
42.0,2.85,
43.0,3.11,
44.0,2.85,
45.0,3.35,
46.0,3.9,
47.0,2.68,
48.0,2.78,
49.0,2.93,
50.0,3.56,
51.0,3.09,
52.0,3.82,
53.0,2.91,
54.0,3.03,
55.0,2.77,
56.0,2.74,
57.0,2.76,
58.0,2.76,
59.0,2.77,
