# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,7.37,
1.0,4.59,
2.0,4.28,
3.0,4.37,
4.0,4.47,
5.0,4.44,
6.0,4.43,
7.0,4.44,
8.0,4.94,
9.0,5.15,
10.0,5.14,
11.0,5.05,
12.0,5.02,
13.0,5.01,
14.0,5.06,
15.0,5.06,
16.0,5.08,
17.0,7.05,
18.0,5.06,
19.0,5.1,
20.0,5.04,
21.0,5.27,
22.0,5.21,
23.0,5.05,
24.0,5.1,
25.0,5.06,
26.0,5.12,
27.0,7.48,
28.0,5.17,
29.0,5.11,
30.0,5.13,
31.0,5.15,
32.0,5.15,
33.0,5.22,
34.0,5.21,
35.0,5.09,
36.0,5.1,
37.0,5.7,
38.0,5.57,
39.0,5.14,
40.0,5.13,
41.0,5.11,
42.0,5.16,
43.0,5.16,
44.0,5.15,
45.0,5.16,
46.0,5.13,
47.0,6.36,
48.0,5.13,
49.0,5.15,
50.0,5.27,
51.0,5.31,
52.0,6.73,
53.0,6.05,
54.0,5.98,
55.0,5.27,
56.0,5.31,
57.0,5.17,
58.0,5.16,
59.0,5.16,
