# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.86,
1.0,3.81,
2.0,3.87,
3.0,3.92,
4.0,3.96,
5.0,3.96,
6.0,3.95,
7.0,4.44,
8.0,5.02,
9.0,5.1,
10.0,5.16,
11.0,5.14,
12.0,4.95,
13.0,4.86,
14.0,4.86,
15.0,6.03,
16.0,4.88,
17.0,4.71,
18.0,4.81,
19.0,5.11,
20.0,4.95,
21.0,4.77,
22.0,4.74,
23.0,4.8,
24.0,6.04,
25.0,5.07,
26.0,4.75,
27.0,4.78,
28.0,4.78,
29.0,4.81,
30.0,4.8,
31.0,4.71,
32.0,4.73,
33.0,6.69,
34.0,4.73,
35.0,4.72,
36.0,4.75,
37.0,4.82,
38.0,4.73,
39.0,4.76,
40.0,4.71,
41.0,4.68,
42.0,6.85,
43.0,4.94,
44.0,4.95,
45.0,5.07,
46.0,5.1,
47.0,5.36,
48.0,5.59,
49.0,6.56,
50.0,7.85,
51.0,7.95,
52.0,6.46,
53.0,6.45,
54.0,6.44,
55.0,6.33,
56.0,6.23,
57.0,6.71,
58.0,7.29,
59.0,7.24,
60.0,7.49,
61.0,7.4,
62.0,7.41,
63.0,7.41,
64.0,7.35,
65.0,7.37,
