# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,0.97,0.11
1.0,0.97,0.11
2.1,0.97,0.11
3.1,0.97,0.11
4.2,0.97,0.11
5.2,0.97,0.11
6.2,1.33,0.11
7.3,1.7,0.11
8.3,1.9,0.22
9.3,1.92,0.22
10.4,1.98,0.22
11.4,2.05,0.22
12.4,2.1,0.22
13.5,2.11,0.22
14.5,2.21,0.22
15.6,2.18,0.22
16.6,2.27,0.22
17.6,2.31,0.22
18.7,2.36,0.22
19.7,2.44,0.22
20.7,2.47,0.22
21.8,2.52,0.22
22.8,2.62,0.22
23.8,2.7,0.22
24.9,2.79,0.22
25.9,2.88,0.22
27.0,2.97,0.22
28.0,3.0,0.22
29.0,3.07,0.22
30.1,3.11,0.22
31.1,3.16,0.22
32.2,3.21,0.22
33.2,3.21,0.22
34.2,3.27,0.22
35.3,3.3,0.22
36.3,3.35,0.22
37.4,3.34,0.22
38.4,2.89,0.22
39.4,2.72,0.22
40.5,2.87,0.22
41.5,7.09,0.22
42.6,4.3,2.23
43.6,4.37,2.39
44.6,4.37,2.39
45.7,4.37,2.39
46.7,4.37,2.39
