# total_ram_gb=47.1
t,ram_gb,vram_gb
0.0,4.83,4.37
1.1,5.34,4.22
2.2,5.72,4.19
3.4,5.75,4.03
4.5,5.59,2.38
5.5,5.59,2.39
6.6,5.59,2.38
7.6,5.59,2.38
8.7,5.59,2.47
9.8,5.59,2.48
11.0,5.72,2.48
12.0,5.96,2.48
13.1,6.17,2.47
14.1,6.15,2.43
15.2,6.01,2.43
16.3,5.99,2.53
17.4,7.47,4.01
18.4,6.12,4.39
19.4,6.14,4.4
20.5,6.41,5.17
21.6,6.69,5.1
22.6,6.82,5.1
23.6,7.47,5.1
24.7,7.71,5.11
25.7,8.05,5.1
26.8,8.57,5.11
27.8,8.96,5.1
28.9,8.75,5.11
29.9,8.78,5.1
31.0,8.39,5.11
32.0,8.88,5.1
33.1,9.03,5.1
34.1,8.69,5.1
35.2,9.05,5.1
36.4,8.91,5.1
37.4,8.81,5.1
38.5,8.74,5.11
39.6,7.82,5.1
40.6,8.3,5.11
41.7,7.73,4.45
42.7,7.6,4.46
43.8,7.6,4.45
44.9,7.6,4.46
45.9,7.6,4.45
47.0,7.41,4.45
48.0,7.26,4.45
49.1,7.26,4.45
50.2,7.57,4.33
51.2,7.26,4.35
52.3,7.86,4.34
53.3,7.54,4.35
54.4,7.39,4.34
55.5,7.26,4.34
56.5,7.6,4.6
57.6,7.44,4.6
58.6,8.39,4.6
59.7,8.39,4.63
60.8,8.56,4.77
62.3,5.77,2.83
63.4,5.77,2.95
64.4,5.77,2.92
