# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,8.78,2.86
1.0,8.67,2.86
2.1,8.67,2.86
3.1,8.67,2.86
4.1,8.67,2.86
5.2,8.67,2.86
6.2,9.07,2.86
7.3,8.7,2.92
8.3,8.71,3.27
9.3,8.71,3.48
10.4,8.72,3.7
11.4,8.72,3.8
12.4,8.72,3.8
13.5,8.72,3.8
14.5,8.72,3.8
15.5,8.72,3.8
16.6,8.72,3.8
17.6,8.72,3.8
18.6,8.72,3.8
19.7,8.72,3.8
20.7,8.72,3.8
21.7,8.72,3.8
22.8,8.72,3.8
23.8,8.72,3.8
24.9,8.72,3.8
25.9,8.72,3.8
26.9,8.72,3.8
28.0,8.72,3.8
29.0,8.72,3.8
30.0,8.72,3.8
31.1,6.94,3.11
32.1,6.88,3.11
33.1,6.95,3.11
34.2,7.03,3.11
35.2,7.12,3.11
36.3,7.19,3.11
37.3,7.27,3.11
38.3,7.47,3.11
39.4,7.27,3.11
40.4,7.27,3.11
41.4,7.27,3.11
42.5,7.27,3.11
