# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.74,
1.1,3.75,
2.2,3.74,
3.3,3.73,
4.3,3.72,
5.3,3.72,
6.4,3.72,
7.4,3.73,
8.6,3.73,
9.7,3.72,
10.8,3.72,
11.8,3.7,
13.0,3.7,
14.1,3.69,
15.2,3.7,
16.3,3.67,
17.5,3.65,
18.6,3.64,
19.7,3.52,
20.9,3.61,
22.0,3.48,
23.1,3.53,
24.2,3.59,
25.4,3.59,
26.4,3.43,
27.5,3.5,
28.6,3.58,
29.7,3.58,
30.7,3.41,
31.7,3.42,
32.8,3.39,
33.9,3.39,
35.1,3.41,
36.2,3.19,
37.2,2.87,
38.4,3.02,
39.4,3.06,
40.5,3.16,
41.5,3.13,
42.6,3.16,
43.7,3.2,
44.7,3.43,
45.9,2.92,
47.0,2.95,
48.1,2.99,
49.1,3.02,
50.1,3.05,
51.2,3.09,
52.2,3.13,
53.3,2.9,
54.5,2.85,
55.5,2.89,
56.6,2.93,
57.6,3.02,
58.7,2.99,
59.7,3.03,
60.7,3.07,
61.8,2.76,
62.9,2.82,
63.9,3.46,
64.9,3.34,
66.0,3.02,
67.1,3.41,
68.2,3.43,
69.3,3.43,
