# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.36,
1.1,3.03,
2.1,3.34,
3.2,3.35,
4.4,3.35,
5.5,3.36,
6.5,3.4,
7.6,3.4,
8.7,3.44,
9.7,3.32,
10.9,3.33,
12.0,3.4,
13.1,3.33,
14.2,3.33,
15.2,3.49,
16.2,3.12,
17.2,2.96,
18.4,2.99,
19.4,3.2,
20.5,3.06,
21.5,3.01,
22.6,3.01,
23.6,3.02,
24.6,3.09,
25.7,3.03,
26.7,3.01,
27.8,3.42,
28.8,2.94,
29.9,2.82,
30.9,2.93,
31.9,2.93,
33.0,2.93,
34.1,2.94,
35.2,2.94,
36.4,3.01,
37.5,3.19,
38.6,2.92,
39.7,2.89,
40.7,3.0,
41.8,2.98,
42.9,2.89,
44.0,2.88,
45.1,2.88,
46.1,2.87,
47.1,3.29,
48.1,3.11,
49.1,2.79,
50.2,2.82,
51.2,2.82,
52.2,3.29,
53.3,2.97,
54.4,3.15,
55.5,3.35,
56.6,3.4,
57.7,3.35,
58.9,3.28,
60.0,2.98,
61.1,2.89,
62.2,3.13,
63.3,2.55,
64.3,2.6,
65.3,2.65,
66.3,2.85,
67.4,2.95,
68.5,3.18,
69.6,3.27,
70.6,3.32,
71.8,3.1,
72.8,3.1,
73.9,3.14,
