# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,2.99,
1.0,2.59,
2.1,2.36,
3.2,2.59,
4.2,2.62,
5.3,2.62,
6.4,2.66,
7.5,2.98,
8.5,3.25,
9.6,3.52,
10.6,3.37,
11.6,3.43,
12.7,3.33,
13.9,3.33,
15.0,3.33,
16.1,3.34,
17.2,3.29,
18.2,3.26,
19.4,3.43,
20.4,3.25,
21.7,2.97,
22.7,2.5,
23.8,2.65,
24.8,3.13,
25.8,2.88,
26.9,2.63,
27.9,2.69,
29.0,2.87,
30.0,2.73,
31.1,2.8,
32.1,2.76,
33.2,2.94,
34.3,2.8,
35.4,2.82,
36.5,2.83,
37.5,2.85,
38.6,2.87,
39.6,2.89,
40.6,2.93,
41.7,2.99,
42.8,3.24,
43.9,3.2,
45.0,2.69,
46.0,2.75,
47.1,2.65,
48.1,2.67,
49.1,2.68,
50.2,2.69,
51.3,2.7,
52.4,2.71,
53.4,2.8,
54.5,2.74,
55.6,2.75,
56.7,2.76,
57.9,2.78,
59.0,2.79,
60.1,2.79,
61.3,3.17,
62.4,3.08,
63.5,2.62,
64.5,2.63,
65.6,2.58,
66.6,2.61,
67.7,2.63,
68.8,2.65,
70.0,2.7,
71.0,2.78,
72.1,2.73,
73.1,2.82,
74.2,2.75,
75.2,2.84,
76.3,2.79,
77.4,2.8,
78.4,2.82,
79.5,3.1,
80.5,2.91,
81.5,2.78,
82.6,2.81,
83.7,3.07,
84.7,3.19,
85.7,3.02,
86.7,2.77,
87.8,3.1,
88.8,3.07,
90.0,2.91,
91.1,3.13,
92.3,3.09,
93.3,3.04,
94.3,3.12,
95.3,2.92,
96.4,3.03,
