# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.35,
1.1,3.46,
2.2,3.45,
3.2,3.4,
4.2,3.4,
5.3,3.45,
6.5,3.46,
7.5,3.21,
8.6,3.26,
9.7,3.29,
10.7,3.1,
11.7,3.11,
12.8,3.1,
13.8,3.1,
14.8,3.1,
15.9,3.04,
17.0,3.04,
18.1,3.07,
19.3,3.06,
20.3,3.04,
21.3,3.01,
22.4,3.02,
23.5,2.95,
24.6,2.87,
25.7,2.9,
26.8,2.93,
27.8,2.97,
29.0,3.01,
30.1,2.99,
31.2,3.14,
32.3,2.93,
33.3,2.83,
34.5,2.89,
35.6,2.83,
36.6,3.02,
37.7,3.03,
38.7,2.88,
39.9,2.93,
41.0,2.74,
42.1,2.76,
43.1,2.94,
44.3,2.63,
45.4,3.01,
46.4,2.98,
47.5,2.78,
48.6,2.77,
49.7,2.8,
50.8,2.81,
51.9,2.77,
52.9,2.76,
53.9,2.8,
55.1,2.8,
56.2,2.67,
57.2,2.77,
58.3,2.64,
59.4,2.75,
60.4,2.61,
61.6,2.68,
62.7,2.66,
63.8,2.99,
64.8,2.87,
65.8,2.77,
66.9,2.7,
68.0,2.81,
69.2,2.97,
70.3,3.02,
71.5,3.08,
72.6,2.84,
73.8,3.11,
74.8,3.02,
75.9,2.88,
76.9,2.84,
78.0,2.93,
79.0,2.93,
80.1,2.95,
