# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,3.61,
1.0,3.7,
2.0,3.94,
3.0,3.97,
4.0,4.0,
5.0,4.01,
6.0,4.08,
7.0,4.09,
8.0,4.11,
9.0,4.18,
10.0,4.15,
11.0,4.16,
12.0,4.31,
13.0,4.57,
14.1,4.67,
15.1,5.17,
16.1,5.33,
17.1,5.52,
18.1,5.65,
19.1,5.63,
20.1,5.56,
21.1,6.08,
22.1,6.5,
23.2,6.76,
24.2,6.94,
25.2,6.87,
26.2,6.56,
27.2,6.17,
28.2,5.94,
29.2,5.87,
30.2,5.66,
31.2,5.47,
32.2,5.49,
33.2,5.68,
34.2,5.47,
35.2,5.38,
36.2,5.66,
37.2,5.44,
38.2,5.39,
39.2,5.98,
40.2,6.63,
41.2,5.72,
42.2,5.39,
43.2,5.34,
44.2,5.32,
45.2,5.38,
46.2,5.35,
47.2,5.48,
48.2,5.8,
49.2,5.52,
50.2,5.46,
51.2,5.46,
52.2,5.6,
53.2,5.58,
54.2,5.68,
55.2,5.98,
56.3,7.9,
57.3,5.73,
58.3,5.66,
59.3,5.96,
60.3,5.74,
61.3,5.74,
62.3,5.7,
63.3,5.79,
64.3,6.01,
65.3,5.81,
66.3,5.83,
67.3,5.65,
68.3,5.73,
69.3,5.69,
70.3,5.81,
71.3,6.12,
72.3,7.98,
73.3,5.85,
74.4,5.82,
75.4,5.82,
76.4,5.9,
77.4,5.92,
78.4,5.96,
79.4,5.98,
80.4,5.98,
81.4,6.09,
82.4,6.07,
83.4,6.16,
84.4,6.2,
85.4,6.18,
86.4,6.35,
87.4,6.14,
88.4,8.17,
89.5,6.34,
90.5,6.22,
91.5,6.22,
92.5,6.37,
93.5,6.53,
94.5,6.49,
95.5,6.28,
96.5,6.27,
97.5,6.27,
98.5,6.39,
