# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.65,
1.0,6.33,
2.0,6.51,
3.0,6.62,
4.0,6.6,
5.0,6.59,
6.0,6.6,
7.0,6.94,
8.0,6.86,
9.0,6.77,
10.0,6.78,
11.0,6.86,
12.0,6.83,
13.0,6.72,
14.0,6.77,
15.0,6.84,
16.0,6.82,
17.0,7.59,
18.0,8.13,
19.0,6.81,
20.0,6.76,
21.0,6.8,
22.0,6.77,
23.0,6.74,
24.0,6.92,
25.0,6.79,
26.0,6.83,
27.0,6.77,
28.0,6.95,
29.0,6.7,
30.0,8.22,
31.0,6.7,
32.0,6.72,
33.0,6.64,
34.0,6.84,
35.0,6.59,
36.0,6.67,
37.0,6.64,
38.0,6.86,
39.0,6.57,
40.0,6.65,
41.0,6.63,
42.0,6.92,
43.0,8.65,
44.0,6.74,
45.0,6.46,
46.0,6.53,
47.0,6.55,
48.0,6.47,
49.0,6.51,
50.0,6.76,
51.0,6.46,
52.0,6.54,
53.0,6.76,
54.1,6.46,
55.1,6.56,
56.1,7.29,
57.1,7.78,
58.1,6.51,
59.1,6.43,
60.1,6.57,
61.1,6.69,
62.1,6.8,
63.1,7.72,
64.1,8.12,
65.1,8.0,
66.1,8.4,
67.1,8.4,
68.1,8.65,
69.1,8.95,
70.1,7.8,
71.1,8.02,
72.1,7.88,
73.1,7.5,
74.1,7.51,
75.1,7.53,
76.1,7.59,
