# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,9.66,
1.0,7.88,
2.0,4.31,
3.0,4.33,
4.0,4.53,
5.0,4.42,
6.0,4.42,
7.0,4.47,
8.0,4.87,
9.0,4.96,
10.0,5.41,
11.0,5.23,
12.0,5.23,
13.0,5.21,
14.0,5.29,
15.0,5.6,
16.0,5.39,
17.0,5.28,
18.0,5.4,
19.0,5.46,
20.0,5.54,
21.0,5.53,
22.0,6.13,
23.0,7.62,
24.0,6.17,
25.0,5.59,
26.0,5.6,
27.1,5.6,
28.1,5.37,
29.1,5.76,
30.1,5.47,
31.1,5.48,
32.1,5.46,
33.1,5.6,
34.1,5.81,
35.1,5.62,
36.1,5.64,
37.1,5.62,
38.1,7.37,
39.1,6.94,
40.1,5.67,
41.1,5.66,
42.1,5.76,
43.1,5.77,
44.1,5.82,
45.1,5.85,
46.1,5.84,
47.1,5.93,
48.1,5.92,
49.1,6.01,
50.1,5.98,
51.1,6.03,
52.1,6.01,
53.1,6.11,
54.1,6.66,
55.1,8.41,
56.1,6.22,
57.1,6.13,
58.1,6.4,
59.1,6.22,
60.1,6.24,
61.1,6.22,
62.1,6.29,
63.1,6.55,
64.1,6.39,
65.1,6.4,
66.1,6.38,
67.1,6.48,
68.1,6.52,
69.1,6.42,
70.1,7.63,
71.1,7.8,
72.1,6.89,
73.1,6.6,
74.1,6.59,
75.1,6.74,
76.1,6.77,
77.1,6.9,
78.1,6.96,
79.1,8.32,
80.1,8.52,
81.1,7.41,
82.1,7.37,
83.1,7.63,
84.1,7.28,
85.1,7.44,
86.1,7.44,
87.1,7.41,
