# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.17,
1.0,4.05,
2.0,4.19,
3.0,4.23,
4.0,4.21,
5.0,4.32,
6.0,4.75,
7.0,4.96,
8.1,5.56,
9.1,5.63,
10.1,5.9,
11.1,5.65,
12.1,5.74,
13.1,5.73,
14.1,5.99,
15.1,5.83,
16.1,5.84,
17.1,5.91,
18.1,5.88,
19.1,7.78,
20.1,6.0,
21.1,5.96,
22.1,5.98,
23.1,6.37,
24.1,5.93,
25.1,6.11,
26.1,6.16,
27.2,6.27,
28.2,6.24,
29.2,6.26,
30.2,6.32,
31.2,6.23,
32.2,8.17,
33.2,6.61,
34.2,6.35,
35.2,6.37,
36.2,6.47,
37.2,6.47,
38.2,6.48,
39.2,6.75,
40.2,6.59,
41.2,6.59,
42.2,6.53,
43.2,6.49,
44.2,6.6,
45.2,7.64,
46.2,7.87,
47.2,6.63,
48.2,6.68,
49.2,6.69,
50.2,6.77,
51.2,6.79,
52.3,7.07,
53.3,6.88,
54.3,6.91,
55.3,6.84,
56.3,6.95,
57.3,7.05,
58.3,7.97,
59.3,8.32,
60.3,7.07,
61.3,7.09,
62.3,7.19,
63.3,7.33,
64.3,7.33,
65.3,7.44,
66.3,7.58,
67.3,7.79,
68.3,7.79,
69.3,7.91,
70.3,8.01,
71.3,8.05,
72.3,8.72,
73.3,8.93,
74.4,10.07,
75.4,10.11,
76.4,10.03,
77.4,9.86,
78.4,9.82,
79.4,10.08,
80.4,10.04,
81.4,9.9,
82.4,9.97,
83.4,8.99,
84.4,8.44,
85.4,8.43,
86.4,8.56,
87.4,8.63,
88.4,9.03,
89.4,8.52,
90.4,8.78,
91.4,9.7,
92.4,9.67,
93.4,9.67,
94.4,9.63,
95.4,9.73,
