# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,8.96,0.38
1.3,8.96,0.38
2.5,8.98,0.38
3.7,9.05,0.39
4.9,9.08,0.41
6.1,9.11,0.41
7.3,9.13,0.47
8.5,9.27,0.53
9.7,9.31,0.53
11.0,9.33,0.53
12.2,9.35,0.53
13.4,9.39,0.6
14.6,9.41,0.61
15.8,9.42,0.61
17.0,9.44,0.61
18.2,9.51,0.62
19.4,9.51,0.62
20.7,9.51,0.62
21.9,9.51,0.6
23.0,9.63,0.59
24.3,9.66,0.58
25.6,9.76,0.59
26.8,9.86,0.58
28.1,9.94,0.59
29.4,10.06,0.58
30.6,10.17,0.58
31.9,10.27,0.58
33.1,10.37,0.59
34.5,10.48,0.58
35.7,10.59,0.58
37.0,10.55,0.58
38.2,10.54,0.58
39.5,10.44,0.58
40.8,10.47,0.58
42.0,10.38,0.58
43.3,10.45,0.58
44.5,10.47,0.58
45.8,10.47,0.58
47.1,10.53,0.58
48.3,10.59,0.58
49.6,10.62,0.58
50.9,10.55,0.58
52.1,10.49,0.58
53.4,10.37,0.58
54.6,10.23,0.58
55.8,10.17,0.58
57.1,10.19,0.58
58.4,10.13,0.58
59.6,10.14,0.58
60.9,10.08,1.03
62.1,10.57,1.57
63.3,11.08,2.07
64.5,11.58,2.57
65.8,12.09,3.07
67.0,12.57,3.53
68.2,12.75,3.85
69.3,10.37,3.82
70.5,9.7,3.84
71.7,9.74,2.64
72.9,9.76,2.63
74.2,9.88,2.65
75.5,9.99,2.67
76.7,10.04,2.8
78.0,10.14,2.86
79.2,10.27,2.87
80.5,10.4,2.86
81.8,10.46,2.87
83.0,10.47,2.84
84.2,10.5,2.83
85.4,10.5,2.83
86.6,10.49,2.82
87.8,10.53,2.91
89.1,10.53,2.88
