# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,10.5,2.88
1.2,10.95,2.82
2.4,11.36,2.77
3.6,11.77,2.83
4.9,12.15,2.83
6.3,12.29,2.25
7.5,11.67,0.86
8.7,10.41,0.69
9.9,10.41,0.69
11.1,10.43,0.69
12.3,10.44,0.69
13.5,10.59,0.69
14.7,10.84,0.69
15.9,10.92,1.07
17.0,11.42,1.6
18.2,11.93,2.13
19.4,12.4,2.65
20.6,12.89,3.12
21.9,13.37,3.62
23.0,13.66,3.9
24.2,11.65,3.93
25.4,10.47,2.49
26.6,10.47,2.83
27.8,10.6,2.83
29.1,10.61,2.83
30.3,10.62,2.83
31.5,10.63,2.83
32.7,10.64,2.87
33.9,10.7,3.18
35.1,10.91,2.81
36.4,10.94,2.81
37.5,10.93,2.81
38.7,10.89,2.72
40.0,11.46,2.73
41.2,12.19,2.73
42.4,12.54,2.82
43.7,12.6,1.44
