# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,10.94,0.99
1.2,10.89,0.99
2.4,10.92,0.9
3.6,10.9,0.67
4.8,10.91,0.57
6.0,10.96,0.64
7.2,10.98,0.62
8.4,10.87,0.62
9.7,10.89,0.68
10.9,10.79,0.7
12.1,10.81,0.71
13.3,10.83,0.71
14.5,10.83,0.77
15.8,10.87,0.78
17.0,10.97,0.78
18.2,11.72,0.78
19.4,11.4,0.75
20.6,11.49,0.75
21.8,11.62,1.09
23.0,12.0,1.46
24.2,12.37,1.81
25.4,12.66,2.21
26.6,13.06,2.65
27.8,13.46,2.99
29.0,13.84,3.37
30.2,14.22,3.74
31.4,14.46,3.96
32.6,12.31,3.99
33.8,11.27,2.55
35.0,11.47,2.61
36.2,11.56,3.3
37.4,11.92,3.3
38.6,12.57,3.3
39.8,13.19,3.3
41.0,13.22,3.3
42.2,12.97,3.3
43.5,12.41,3.3
44.7,12.36,3.3
45.9,12.31,3.3
47.1,11.92,3.3
48.3,12.02,2.97
49.6,12.21,3.17
50.9,12.36,3.32
52.1,12.36,3.26
53.3,12.47,3.27
54.4,12.38,3.34
