# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,2.99,3.34
1.1,2.99,3.14
2.3,2.99,3.31
3.4,2.99,3.33
4.6,2.99,3.27
5.7,2.99,3.27
6.9,3.09,3.27
8.0,1.76,0.98
9.1,1.71,0.97
10.3,1.76,0.97
11.4,1.79,0.97
12.5,1.83,0.97
13.7,1.95,1.21
14.9,2.31,1.21
16.0,2.35,1.37
17.1,2.39,1.37
18.3,3.23,2.38
19.4,4.86,3.98
20.6,4.52,4.65
21.7,2.63,4.73
22.9,2.81,5.02
24.1,3.28,5.27
25.2,3.28,5.27
26.3,3.31,5.27
27.5,3.5,5.27
28.6,3.73,5.27
29.8,3.95,5.27
30.9,4.98,5.27
32.2,5.92,5.27
33.4,6.09,5.27
34.6,4.95,5.27
35.7,5.81,4.96
36.8,5.75,4.96
38.0,5.37,4.96
39.1,5.61,4.96
40.3,5.89,4.96
41.4,5.68,4.96
42.6,5.91,4.96
43.7,6.12,4.96
44.8,6.08,4.96
46.0,6.02,4.97
47.1,6.19,4.96
48.3,6.46,4.97
49.4,7.24,4.97
50.6,7.23,4.96
51.7,7.23,5.12
52.8,7.23,4.95
54.0,7.23,5.09
