# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,12.37,3.34
1.2,12.87,3.12
2.4,13.32,2.98
3.6,13.78,2.86
4.9,13.74,2.08
6.1,12.95,1.15
7.3,12.99,1.2
8.5,13.02,1.2
9.7,13.0,1.23
10.9,13.11,1.25
12.1,13.12,1.25
13.3,13.01,1.26
14.6,13.05,1.26
15.9,12.9,1.27
17.1,12.9,1.27
18.3,13.15,1.26
19.5,13.31,1.25
20.7,13.02,1.26
21.9,13.14,1.25
23.1,13.34,1.26
24.3,13.2,1.36
25.5,13.6,1.7
26.7,13.98,2.08
27.9,14.33,2.49
29.1,14.71,2.83
30.3,15.13,3.26
31.5,15.54,3.7
32.7,15.94,4.05
33.9,16.23,4.33
35.1,13.7,4.37
36.3,13.05,4.36
37.5,13.08,4.37
38.7,13.1,4.37
40.0,13.11,4.37
41.2,13.12,4.37
42.4,13.18,4.36
43.6,13.18,4.27
44.8,13.21,4.27
46.0,13.23,4.27
47.2,13.23,4.27
48.4,13.24,4.27
49.6,13.24,4.27
50.8,13.25,4.31
52.0,13.25,4.31
53.2,13.22,4.31
54.4,13.23,4.31
55.6,13.24,4.31
56.8,13.24,4.31
58.0,13.24,4.31
59.2,13.25,4.31
60.4,13.25,4.31
61.6,13.25,4.31
62.8,13.25,4.31
64.0,13.26,4.31
65.2,13.27,4.31
66.4,13.27,4.31
67.6,13.27,4.37
68.8,13.28,4.37
70.0,13.28,4.37
71.3,13.29,4.37
72.5,13.29,4.3
73.7,13.3,4.31
74.9,13.3,4.31
76.1,13.3,4.31
77.3,13.31,4.31
78.5,13.31,4.31
79.7,13.32,4.31
80.9,13.32,4.31
82.1,13.32,4.31
83.3,13.33,4.31
84.5,13.33,4.31
85.7,13.34,4.31
86.9,13.34,4.31
88.1,13.35,4.31
89.3,13.35,4.31
90.5,13.35,4.35
91.7,13.35,4.34
92.9,13.36,4.34
94.1,13.39,3.46
95.3,13.39,3.46
96.5,13.41,3.47
97.7,13.42,3.47
98.9,13.42,3.47
100.1,13.43,3.46
101.3,13.44,3.46
102.5,13.48,3.47
103.7,13.49,3.47
104.8,13.5,3.46
106.0,13.51,3.46
107.2,13.52,3.47
108.4,13.54,3.46
109.6,13.55,3.47
110.8,13.55,3.47
112.0,13.56,3.46
113.2,13.54,3.47
114.4,13.54,3.47
115.6,13.56,3.47
116.8,13.57,3.47
118.0,13.59,3.46
119.2,13.59,3.46
120.4,13.6,3.47
121.5,13.61,3.47
122.7,13.61,3.46
123.9,13.63,3.46
125.1,13.64,3.46
126.3,13.64,3.46
127.6,13.65,3.46
128.7,13.67,3.47
129.9,13.68,3.47
131.1,13.68,3.47
132.3,13.69,3.47
133.5,13.71,3.46
134.7,13.71,3.46
135.9,13.72,3.47
137.1,13.74,3.47
138.3,13.72,3.47
139.5,13.72,3.47
140.7,13.73,3.46
141.9,13.75,3.46
143.0,13.75,3.47
144.2,13.77,3.46
145.4,13.77,3.46
146.6,13.77,3.46
147.8,13.8,3.46
149.0,13.76,3.47
150.3,13.83,3.47
151.5,13.92,3.47
152.7,14.3,3.47
153.9,14.6,3.55
155.1,14.97,3.52
156.4,15.27,3.51
