# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.35,
1.0,4.46,
2.0,4.7,
3.0,4.75,
4.0,4.75,
5.0,4.75,
6.0,4.84,
7.0,4.96,
8.0,5.04,
9.0,5.25,
10.1,5.64,
11.1,5.65,
12.1,5.69,
13.1,5.72,
14.1,5.74,
15.1,5.86,
16.1,6.31,
17.1,6.81,
18.1,7.26,
19.1,7.2,
20.1,7.37,
21.1,7.46,
22.1,7.36,
23.1,7.24,
24.1,7.29,
25.2,7.54,
26.2,7.04,
27.2,7.03,
28.2,7.03,
29.2,8.22,
30.2,7.22,
31.2,6.74,
32.2,6.72,
33.2,6.62,
34.2,6.99,
35.2,6.67,
36.2,6.73,
37.2,6.71,
38.2,6.67,
39.2,6.72,
40.2,7.1,
41.2,7.9,
42.2,6.62,
43.2,6.67,
44.2,6.91,
45.2,6.62,
46.2,6.67,
47.2,6.74,
48.2,6.73,
49.2,6.73,
50.2,6.69,
51.2,7.1,
52.2,8.01,
53.3,6.74,
54.3,6.8,
55.3,7.13,
56.3,6.75,
57.3,6.8,
58.3,6.91,
59.3,6.9,
60.3,6.9,
61.3,6.81,
62.3,7.25,
63.3,8.22,
64.3,6.98,
65.3,6.98,
66.3,7.15,
67.3,7.27,
68.3,7.27,
69.3,7.08,
70.3,7.1,
71.3,7.1,
72.3,7.17,
