# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.12,
1.0,5.05,
2.0,5.17,
3.0,5.16,
4.0,5.14,
5.0,5.13,
6.0,5.26,
7.0,5.72,
8.0,5.43,
9.0,5.51,
10.0,5.4,
11.0,5.43,
12.0,5.44,
13.0,5.78,
14.0,5.5,
15.0,5.61,
16.0,7.43,
17.0,5.95,
18.0,5.6,
19.0,5.7,
20.0,5.75,
21.0,5.77,
22.0,5.82,
23.0,5.75,
24.0,6.31,
25.0,5.9,
26.0,6.01,
27.1,7.75,
28.1,6.18,
29.1,5.82,
30.1,5.93,
31.1,5.93,
32.1,5.95,
33.1,6.01,
34.1,6.06,
35.1,6.21,
36.1,6.08,
37.1,6.19,
38.1,8.08,
39.1,6.52,
40.1,6.17,
41.1,6.28,
42.1,6.32,
43.2,6.34,
44.2,6.39,
45.2,6.45,
46.2,6.76,
47.2,6.47,
48.2,6.52,
49.2,8.93,
50.2,6.59,
51.2,6.57,
52.2,6.69,
53.2,6.85,
54.2,6.96,
55.2,7.88,
56.2,8.29,
57.2,7.98,
58.2,8.03,
59.2,8.15,
60.2,8.42,
61.2,8.07,
62.2,8.29,
63.2,8.5,
64.3,8.56,
65.3,8.07,
66.3,8.07,
67.3,8.06,
68.3,4.65,
69.3,4.74,
