# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,9.93,
1.0,7.28,
2.0,4.62,
3.0,4.62,
4.0,4.67,
5.0,4.67,
6.0,4.64,
7.0,5.13,
8.0,5.33,
9.0,5.44,
10.0,5.41,
11.0,5.21,
12.0,5.23,
13.0,5.65,
14.0,5.2,
15.0,5.29,
16.0,5.24,
17.0,5.34,
18.0,5.44,
19.0,6.5,
20.0,6.73,
21.0,5.48,
22.0,5.65,
23.0,5.52,
24.0,5.63,
25.0,5.66,
26.0,5.62,
27.0,5.73,
28.0,5.75,
29.0,6.01,
30.0,5.85,
31.0,5.82,
32.0,6.48,
33.0,7.13,
34.0,5.89,
35.0,5.86,
36.0,6.0,
37.1,6.03,
38.1,6.2,
39.1,6.12,
40.1,6.14,
41.1,6.35,
42.1,6.24,
43.1,6.27,
44.1,6.25,
45.1,6.36,
46.1,7.42,
47.1,7.76,
48.1,6.6,
49.1,6.66,
50.1,6.82,
51.1,6.99,
52.1,7.05,
53.1,7.24,
54.1,7.24,
55.1,7.09,
56.1,7.23,
57.1,7.23,
58.1,7.12,
59.1,7.17,
60.1,8.26,
61.1,8.34,
62.1,7.04,
63.1,6.82,
64.1,6.92,
65.1,7.08,
66.1,7.19,
67.1,7.28,
68.1,8.69,
69.1,8.96,
70.1,8.2,
71.1,7.87,
72.1,8.17,
73.1,7.8,
74.1,7.78,
75.1,7.78,
