# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.66,
1.0,4.52,
2.0,4.64,
3.0,4.64,
4.0,4.69,
5.0,4.67,
6.0,4.84,
7.0,5.2,
8.0,6.2,
9.0,6.09,
10.1,6.14,
11.1,6.49,
12.1,6.11,
13.1,6.17,
14.1,6.17,
15.1,6.43,
16.1,6.18,
17.1,6.29,
18.1,7.74,
19.1,6.25,
20.1,6.15,
21.1,6.19,
22.1,6.21,
23.1,6.47,
24.1,6.22,
25.1,6.32,
26.1,6.39,
27.1,6.42,
28.1,6.41,
29.1,6.45,
30.1,8.59,
31.1,6.8,
32.1,6.39,
33.1,6.55,
34.2,6.55,
35.2,6.6,
36.2,7.04,
37.2,6.63,
38.2,6.7,
39.2,6.73,
40.2,6.75,
41.2,7.35,
42.2,8.02,
43.2,6.76,
44.2,6.81,
45.2,7.14,
46.2,6.84,
47.2,6.95,
48.3,6.99,
49.3,7.01,
50.3,7.06,
51.3,7.34,
52.3,7.08,
53.3,9.01,
54.3,7.16,
55.3,7.18,
56.3,7.34,
57.3,7.42,
58.3,7.59,
59.3,7.66,
60.3,7.74,
61.3,7.83,
62.3,7.96,
63.3,8.0,
64.3,8.11,
65.3,8.11,
66.3,8.92,
67.3,10.11,
68.4,9.98,
69.4,9.89,
70.4,10.19,
71.4,9.57,
72.4,10.14,
73.4,10.08,
74.4,9.1,
75.4,8.65,
76.4,8.61,
77.4,9.06,
78.4,8.97,
79.4,8.92,
80.4,9.16,
81.4,9.54,
82.4,9.9,
83.4,9.93,
84.4,9.91,
85.4,9.98,
86.4,9.93,
