# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,8.87,0.38
1.3,8.87,0.38
2.5,8.89,0.38
3.7,8.91,0.38
4.9,8.95,0.38
6.1,8.98,0.45
7.3,9.14,0.52
8.5,9.19,0.52
9.7,9.21,0.52
10.9,9.23,0.53
12.1,9.29,0.6
13.3,9.3,0.61
14.5,9.32,0.61
15.7,9.36,0.61
17.0,9.42,0.61
18.2,9.42,0.61
19.4,9.62,0.61
20.6,9.88,0.6
21.8,10.17,0.6
23.0,10.37,0.59
24.2,10.63,0.6
25.4,10.9,0.59
26.6,11.22,0.59
27.9,11.34,0.59
29.1,11.31,0.59
30.3,11.3,0.59
31.6,11.37,0.59
32.8,11.16,0.59
34.0,11.02,1.13
35.2,11.27,1.6
36.4,11.3,2.1
37.6,11.53,2.57
38.8,12.0,3.07
40.0,12.44,3.48
41.3,12.68,3.79
42.4,10.94,3.88
43.7,9.75,3.91
44.9,9.75,2.7
46.0,9.78,2.7
47.3,9.91,2.72
48.5,10.0,2.74
49.7,10.01,2.77
50.9,10.11,2.9
52.2,10.25,2.9
53.4,10.39,2.9
54.6,10.49,2.9
55.8,10.5,2.9
57.0,10.43,2.85
58.2,10.43,2.86
59.4,10.42,2.86
60.6,10.41,2.91
61.8,10.44,2.91
