# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,10.41,2.91
1.2,10.93,2.85
2.5,11.35,2.88
3.7,11.81,2.87
5.0,12.14,2.87
6.2,12.2,0.85
7.4,10.33,0.69
8.6,10.32,0.69
9.8,10.31,0.69
11.0,10.31,0.69
12.2,10.31,0.69
13.4,10.47,0.69
14.6,10.7,0.69
15.8,10.81,1.09
17.0,11.28,1.56
18.2,11.73,2.02
19.4,12.13,2.58
20.6,12.59,2.96
21.7,13.0,3.37
22.9,13.39,3.77
24.1,13.18,3.93
25.3,10.3,3.93
26.5,10.31,2.68
27.7,10.42,2.83
28.9,10.44,2.83
30.1,10.45,2.83
31.4,10.46,2.83
32.6,10.48,2.83
33.8,10.48,2.93
35.0,10.72,3.18
36.2,10.73,2.81
37.4,10.73,2.82
38.6,10.74,2.81
39.8,11.2,2.73
41.0,11.94,2.73
42.1,12.39,2.73
43.3,12.52,1.07
44.6,10.48,0.75
