# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,14.39,3.13
1.2,14.58,2.89
2.4,14.83,2.58
3.6,15.07,2.69
4.8,15.4,2.64
6.1,15.48,0.82
7.4,13.91,0.81
8.6,11.16,0.62
9.8,11.22,0.62
11.1,11.31,0.62
12.3,11.23,0.61
13.5,11.23,0.61
14.7,11.28,0.68
15.9,11.27,0.69
17.1,11.31,0.71
18.3,11.11,0.71
19.5,11.11,0.77
20.7,11.11,0.77
21.9,11.12,0.77
23.1,11.49,0.77
24.3,11.55,0.75
25.6,11.8,0.75
26.7,11.68,0.84
27.9,12.02,1.18
29.2,12.37,1.49
30.4,12.73,1.87
31.6,13.02,2.21
32.8,13.13,2.65
34.0,13.48,2.87
35.2,13.8,3.2
36.4,14.11,3.52
37.6,14.45,3.83
38.8,14.28,3.99
40.0,11.36,3.99
41.2,11.58,2.55
42.4,11.32,3.29
43.6,11.77,3.29
44.8,12.4,3.29
46.0,12.96,3.29
47.2,12.91,3.29
48.4,12.7,3.29
49.6,12.01,3.29
50.8,12.43,3.29
52.0,12.01,3.29
53.2,11.9,2.82
54.4,12.54,2.82
55.6,13.3,3.12
56.9,13.84,3.13
58.1,13.92,1.45
59.3,13.19,1.45
60.5,13.28,1.45
61.7,13.15,1.44
62.9,13.23,1.44
64.1,13.1,1.44
65.3,13.18,1.44
66.5,13.19,1.44
67.7,13.43,1.6
68.9,13.43,1.54
70.1,13.43,1.63
71.3,13.46,1.59
