# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,10.45,0.75
1.2,10.44,0.69
2.3,10.4,0.63
3.5,10.52,0.7
4.8,10.51,0.7
6.0,10.52,0.69
7.2,10.52,0.74
8.4,10.55,0.75
9.6,10.62,0.76
10.9,10.61,0.76
12.1,10.6,0.81
13.2,10.71,0.8
14.4,11.15,0.8
15.6,11.01,0.8
16.8,11.24,0.8
18.1,11.17,1.03
19.3,11.54,1.43
20.5,11.97,1.81
21.7,12.4,2.24
22.9,12.84,2.77
24.1,13.28,3.11
25.3,13.65,3.49
26.5,14.07,3.89
27.7,14.28,4.11
28.9,11.31,4.11
30.1,11.16,2.68
31.3,11.16,3.43
32.5,11.31,3.43
33.7,11.59,3.43
34.9,11.6,3.43
36.1,11.83,3.42
37.3,11.95,3.42
38.5,12.67,3.42
39.7,12.71,3.42
40.9,12.68,3.42
42.1,12.68,3.42
43.3,12.67,3.43
44.5,13.07,3.42
45.7,13.54,3.43
46.9,13.95,3.42
48.1,13.94,3.42
49.3,13.84,3.42
50.5,13.84,3.32
51.7,13.75,3.32
52.9,13.74,3.32
54.0,13.41,3.32
55.2,13.96,3.32
56.4,14.01,3.32
57.6,13.9,3.32
58.8,13.87,3.32
60.0,13.79,3.32
61.2,13.76,3.32
62.4,13.41,3.32
63.6,14.02,3.32
64.8,14.03,3.32
66.0,13.76,3.32
67.2,13.24,3.32
68.4,12.18,2.76
69.6,12.6,2.76
70.8,12.63,2.76
72.0,12.64,2.76
73.2,12.97,2.76
74.4,12.75,2.76
75.6,12.39,2.76
76.8,12.92,2.76
78.0,12.49,2.76
79.2,12.36,2.76
80.4,12.73,2.76
81.6,12.61,2.76
82.8,12.44,2.76
84.0,12.34,2.76
85.2,13.27,2.76
86.4,13.4,2.76
87.6,13.38,2.77
88.8,13.51,2.77
90.0,13.61,2.76
91.2,13.67,2.76
92.4,13.73,2.76
93.6,13.9,2.76
94.8,14.34,2.91
96.1,14.34,3.16
97.3,14.66,3.13
