# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,5.99,4.35
1.2,5.99,3.97
2.3,5.99,3.96
3.4,6.06,3.99
4.6,5.99,3.93
5.7,5.99,3.91
6.9,6.04,3.9
8.0,6.39,3.9
9.2,5.67,3.93
10.3,5.69,4.5
11.4,5.77,4.67
12.6,5.78,4.74
13.7,5.78,4.76
14.9,5.8,4.76
16.1,5.81,4.76
17.2,5.82,4.76
18.3,5.83,4.82
19.5,5.84,4.82
20.6,5.85,4.82
21.7,5.86,4.82
22.9,5.87,4.82
24.0,5.88,4.82
25.2,5.9,4.82
26.3,5.9,4.85
27.5,5.92,4.86
28.6,5.93,4.85
29.7,4.04,3.94
30.9,4.11,3.94
32.0,4.16,3.94
33.2,4.18,3.94
34.3,4.23,3.95
35.4,4.27,3.94
36.6,4.29,3.95
37.7,4.34,3.94
38.9,4.38,3.94
40.0,4.41,3.94
41.2,4.45,3.94
42.3,4.49,3.94
43.5,4.5,3.94
44.6,4.72,3.97
45.8,4.72,3.98
46.9,4.72,3.99
48.1,4.72,4.14
